,English,Italian
0,Not,non
1,from,di
2,that,che
3,is,è
4,And,e
5,there,la
6,the,il
7,a,un
8,to,a
9,for,per
10,in,in
11,a,una
12,me,mi
13,I am,sono
14,I have,ho
15,but,ma
16,L',l'
17,the,lo
18,has,ha
19,the,le
20,yes,si
21,you,ti
22,the,i
23,with,con
24,What,cosa
25,self,se
26,I,io
27,how,come
28,from,da
29,there,ci
30,no,no
31,this,questo
32,here,qui
33,And',e'
34,you have,hai
35,six,sei
36,of the,del
37,well,bene
38,you,tu
39,Yes,sì
40,myself,me
41,more,più
42,to the,al
43,my,mio
44,there,c'
45,Why,perché
46,she,lei
47,alone,solo
48,you,te
49,was,era
50,the,gli
51,everything,tutto
52,of the,della
53,Like this,così
54,my,mia
55,neither,ne
56,this,questa
57,Do,fare
58,when,quando
59,Now,ora
60,done,fatto
61,to be,essere
62,I know,so
63,never,mai
64,who,chi
65,or,o
66,at the,alla
67,all,tutti
68,Very,molto
69,of the,dei
70,also,anche
71,said,detto
72,that,quello
73,it goes,va
74,nothing,niente
75,thank you,grazie
76,he,lui
77,I want,voglio
78,we have,abbiamo
79,state,stato
80,in the,nel
81,his,suo
82,where is it,dove
83,I can,posso
84,Oh,oh
85,Before,prima
86,so,allora
87,we are,siamo
88,d ',d'
89,one,uno
90,a,un'
91,her,sua
92,your,tuo
93,they have,hanno
94,we,noi
95,is,sta
96,does,fa
97,two,due
98,do you want,vuoi
99,still ,ancora
100,something,qualcosa
101,real ,vero
102,home,casa
103,is,sia
104,on,su
105,your,tua
106,always,sempre
107,perhaps,forse
108,to say,dire
109,you,vi
110,They,loro
111,the',i'
112,other,altro
113,you know,sai
114,you are,stai
115,I have to,devo
116,that,quella
117,life,vita
118,that,quel
119,of the,delle
120,time,tempo
121,to go,andare
122,Certain,certo
123,then,poi
124,in,nella
125,man,uomo
126,man,signore
127,to,ad
128,bit',po'
129,can  ,può
130,I believe,credo
131,you,voi
132,already,già
133,now,adesso
134,here we go,andiamo
135,years,anni
136,at,all'
137,view,visto
138,out,fuori
139,own,proprio
140,part,parte
141,really,davvero
142,wants,vuole
143,there,li
144,of,dell'
145,this,sto
146,how much,quanto
147,time,volta
148,Street,via
149,on,sul
150,And,é
151,God,dio
152,Sara,sarà
153,after,dopo
154,without,senza
155,what's this,cose
156,nobody,nessuno
157,do,fai
158,day,giorno
159,and,ed
160,better,meglio
161,father,padre
162,you can,puoi
163,Hello,ciao
164,so,cos'
165,you have to,devi
166,there,ecco
167,someone,qualcuno
168,from the,dal
169,work,lavoro
170,know,sa
171,to the,ai
172,see,vedere
173,every,ogni
174,II,ii
175,too much,troppo
176,place,posto
177,which,cui
178,much,tanto
179,bad,male
